,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
540,4,0.2,26,0.8,1.571135006,1.5697314
541,13,0.2,26,0.8,0.500192497,0.547521
542,22,0.2,26,0.8,0.296968524,0.28587145
543,31,0.2,26,0.8,0.294649382,0.27641034
544,40,0.2,26,0.8,0.293720196,0.3346804
545,4,0.3,26,0.8,1.868734293,1.9088144
546,13,0.3,26,0.8,0.498042059,0.45320848
547,22,0.3,26,0.8,0.210887819,0.26628563
548,31,0.3,26,0.8,0.208090828,0.23620346
549,40,0.3,26,0.8,0.206463545,0.21926817
550,4,0.4,26,0.8,2.223929489,2.256131
551,13,0.4,26,0.8,0.201923661,0.26911527
552,22,0.4,26,0.8,0.183423048,0.34940803
553,31,0.4,26,0.8,0.186696501,0.3482117
554,40,0.4,26,0.8,0.189250589,0.29035166
555,4,0.5,26,0.8,2.498780912,2.5111432
556,13,0.5,26,0.8,0.004482985,0.12877637
557,22,0.5,26,0.8,0.439059292,0.364959
558,31,0.5,26,0.8,0.44243463,0.39549738
559,40,0.5,26,0.8,0.444863458,0.3563464
560,4,0.6,26,0.8,2.320045586,2.3724077
561,13,0.6,26,0.8,0.08557596,0.07421838
562,22,0.6,26,0.8,0.33925243,0.13857701
563,31,0.6,26,0.8,0.341998731,0.17713536
564,40,0.6,26,0.8,0.344179448,0.16988768
565,4,0.7,26,0.8,2.150536513,2.067217
566,13,0.7,26,0.8,0.37574385,0.32818654
567,22,0.7,26,0.8,0.009491246,0.03401178
568,31,0.7,26,0.8,0.012543647,0.039557427
569,40,0.7,26,0.8,0.010935745,0.033905108
570,4,0.2,32,0.8,1.902985292,1.9680579
571,13,0.2,32,0.8,0.885284495,0.98671997
572,22,0.2,32,0.8,0.544806448,0.5287945
573,31,0.2,32,0.8,0.538428547,0.49282467
574,40,0.2,32,0.8,0.536580292,0.55889726
575,4,0.3,32,0.8,2.053176839,2.1569753
576,13,0.3,32,0.8,0.571781006,0.5744614
577,22,0.3,32,0.8,0.057936337,0.3179735
578,31,0.3,32,0.8,0.047846439,0.29444882
579,40,0.3,32,0.8,0.045069538,0.25414956
580,4,0.4,32,0.8,2.3671726,2.4549994
581,13,0.4,32,0.8,0.010106404,0.24597028
582,22,0.4,32,0.8,0.689654262,0.59000623
583,31,0.4,32,0.8,0.70462418,0.6621219
584,40,0.4,32,0.8,0.708183593,0.57806015
585,4,0.5,32,0.8,2.585511864,2.57977
586,13,0.5,32,0.8,0.165652979,0.11864572
587,22,0.5,32,0.8,0.946476009,0.7385366
588,31,0.5,32,0.8,0.963210386,0.87664926
589,40,0.5,32,0.8,0.966794706,0.8400195
590,4,0.6,32,0.8,2.207739087,2.214421
591,13,0.6,32,0.8,0.013289613,0.073958196
592,22,0.6,32,0.8,0.72283723,0.4782937
593,31,0.6,32,0.8,0.73891332,0.6537263
594,40,0.6,32,0.8,0.741788831,0.66342825
595,4,0.7,32,0.8,1.623709359,1.6387042
596,13,0.7,32,0.8,0.388617416,0.26101592
597,22,0.7,32,0.8,0.203896709,0.13823228
598,31,0.7,32,0.8,0.223014901,0.2565116
599,40,0.7,32,0.8,0.22479182,0.26907104
600,4,0.2,8,1,1.013591898,1.0992733
601,13,0.2,8,1,0.717666833,0.6074303
602,22,0.2,8,1,0.717868879,0.7229484
603,31,0.2,8,1,0.718749984,0.77369756
604,40,0.2,8,1,0.718889249,0.7986215
605,4,0.3,8,1,0.849950408,0.78875965
606,13,0.3,8,1,0.227869375,0.22448513
607,22,0.3,8,1,0.227375637,0.25934902
608,31,0.3,8,1,0.227781741,0.26249924
609,40,0.3,8,1,0.228113682,0.25724673
610,4,0.4,8,1,0.952553342,0.8108814
611,13,0.4,8,1,0.065478742,0.10655879
612,22,0.4,8,1,1.296998747,0.113584734
613,31,0.4,8,1,0.064786052,0.10533579
614,40,0.4,8,1,0.065421256,0.09260058
615,4,0.5,8,1,1.148596877,1.1022006
616,13,0.5,8,1,0.061942627,0.096378714
617,22,0.5,8,1,0.060385821,0.10205778
618,31,0.5,8,1,0.060506562,0.09976123
619,40,0.5,8,1,1.490879783,0.091619395
620,4,0.6,8,1,1.435296588,1.4535099
621,13,0.6,8,1,0.171405588,0.12854871
622,22,0.6,8,1,0.169169013,0.13470319
623,31,0.6,8,1,0.169715333,0.14554542
624,40,0.6,8,1,0.168969631,0.14322287
625,4,0.7,8,1,1.736117312,1.7528229
626,13,0.7,8,1,0.317368216,0.3325686
627,22,0.7,8,1,0.315138051,0.32854182
628,31,0.7,8,1,0.31479913,0.35276136
629,40,0.7,8,1,0.314756877,0.35519558
630,4,0.2,14,1,0.703682275,0.6480795
631,13,0.2,14,1,0.283437114,0.3024391
632,22,0.2,14,1,0.297261786,0.33199835
633,31,0.2,14,1,0.297736338,0.28407526
634,40,0.2,14,1,0.297332438,0.2257648
635,4,0.3,14,1,0.939507762,0.9228338
636,13,0.3,14,1,0.475336704,0.40454832
637,22,0.3,14,1,0.500866053,0.48429525
638,31,0.3,14,1,2.835297434,0.46218088
639,40,0.3,14,1,0.50184184,0.4047859
640,4,0.4,14,1,1.30830536,1.2279139
641,13,0.4,14,1,0.389559874,0.3133213
642,22,0.4,14,1,0.424468713,0.3733956
643,31,0.4,14,1,0.425962721,0.35941005
644,40,0.4,14,1,0.426083802,0.3265061
645,4,0.5,14,1,1.669566724,1.6769588
646,13,0.5,14,1,0.244145966,0.2377238
647,22,0.5,14,1,0.284275908,0.27209422
648,31,0.5,14,1,0.285930862,0.2595569
649,40,0.5,14,1,0.286109316,0.24038213
650,4,0.6,14,1,2.024166712,2.089461
651,13,0.6,14,1,0.061052231,0.13599774
652,22,0.6,14,1,0.102903923,0.14399575
653,31,0.6,14,1,0.104588699,0.13773951
654,40,0.6,14,1,0.104979694,0.12662856
655,4,0.7,14,1,2.323148223,2.297913
656,13,0.7,14,1,0.166878379,0.1998613
657,22,0.7,14,1,0.126862926,0.15761876
658,31,0.7,14,1,0.12531733,0.1704121
659,40,0.7,14,1,0.12488572,0.16798185
660,4,0.2,20,1,0.709151398,0.71367806
661,13,0.2,20,1,0.615206851,0.46556658
662,22,0.2,20,1,0.706176098,0.6314422
663,31,0.2,20,1,0.708336104,0.6204913
664,40,0.2,20,1,0.708232377,0.5822972
665,4,0.3,20,1,1.18189764,1.1103035
666,13,0.3,20,1,0.508065708,0.45393223
667,22,0.3,20,1,0.647294318,0.6695381
668,31,0.3,20,1,0.650197549,0.68336445
669,40,0.3,20,1,0.650763429,0.6237027
670,4,0.4,20,1,1.534868594,1.5263126
671,13,0.4,20,1,0.469453609,0.443813
672,22,0.4,20,1,0.646047673,0.64730495
673,31,0.4,20,1,0.648858525,0.6658267
674,40,0.4,20,1,0.649636748,0.6300374
675,4,0.5,20,1,1.88723833,1.8862494
676,13,0.5,20,1,0.428159829,0.38546458
677,22,0.5,20,1,0.631123359,0.5672127
678,31,0.5,20,1,0.633645908,0.57395315
679,40,0.5,20,1,0.634628973,0.55004805
680,4,0.6,20,1,2.102014964,2.15113
681,13,0.6,20,1,0.269971174,0.15203482
682,22,0.6,20,1,0.472876809,0.3032871
683,31,0.6,20,1,0.474780924,0.3062277
684,40,0.6,20,1,0.475804087,0.29371986
685,4,0.7,20,1,2.276980276,2.3108175
686,13,0.7,20,1,0.05745221,0.054495092
687,22,0.7,20,1,0.12194962,0.0587975
688,31,0.7,20,1,0.123217172,0.068046704
689,40,0.7,20,1,0.124256642,0.066089265
690,4,0.2,26,1,0.919115196,0.889119
691,13,0.2,26,1,0.479143151,0.3563606
